,job,education,contact
0,unemployed,primary,cellular
1,services,secondary,cellular
2,management,tertiary,cellular
3,management,tertiary,unknown
4,blue-collar,secondary,unknown
5,management,tertiary,cellular
6,self-employed,tertiary,cellular
7,technician,secondary,cellular
8,entrepreneur,tertiary,unknown
9,services,primary,cellular
10,services,secondary,unknown
11,admin.,secondary,cellular
12,technician,tertiary,cellular
13,student,secondary,cellular
14,blue-collar,secondary,cellular
15,management,tertiary,cellular
16,technician,secondary,cellular
17,admin.,tertiary,cellular
18,blue-collar,primary,unknown
19,services,secondary,cellular
20,management,unknown,cellular
21,management,tertiary,cellular
22,services,secondary,unknown
23,entrepreneur,secondary,cellular
24,housemaid,tertiary,cellular
25,management,tertiary,cellular
26,blue-collar,primary,unknown
27,retired,unknown,telephone
28,self-employed,secondary,cellular
29,admin.,secondary,cellular
30,retired,secondary,telephone
31,technician,secondary,cellular
32,management,secondary,cellular
33,management,tertiary,cellular
34,technician,tertiary,cellular
35,admin.,secondary,unknown
36,retired,primary,telephone
37,blue-collar,secondary,cellular
38,management,secondary,cellular
39,services,tertiary,unknown
40,management,tertiary,unknown
41,management,tertiary,cellular
42,blue-collar,secondary,cellular
43,technician,tertiary,cellular
44,technician,tertiary,cellular
45,management,tertiary,unknown
46,blue-collar,primary,telephone
47,blue-collar,primary,unknown
48,entrepreneur,primary,cellular
49,admin.,unknown,cellular
50,blue-collar,primary,unknown
51,technician,secondary,cellular
52,technician,secondary,cellular
53,technician,tertiary,cellular
54,blue-collar,secondary,cellular
55,admin.,secondary,telephone
56,management,secondary,telephone
57,self-employed,tertiary,cellular
58,retired,secondary,unknown
59,technician,secondary,unknown
60,blue-collar,primary,telephone
61,retired,secondary,cellular
62,management,tertiary,cellular
63,services,secondary,cellular
64,admin.,secondary,cellular
65,blue-collar,secondary,cellular
66,services,secondary,cellular
67,technician,secondary,cellular
68,management,secondary,cellular
69,technician,tertiary,cellular
70,management,tertiary,cellular
71,entrepreneur,tertiary,unknown
72,management,tertiary,unknown
73,services,tertiary,unknown
74,retired,secondary,unknown
75,management,tertiary,cellular
76,blue-collar,secondary,cellular
77,technician,secondary,cellular
78,blue-collar,primary,cellular
79,unemployed,secondary,cellular
80,admin.,secondary,cellular
81,retired,primary,cellular
82,admin.,secondary,cellular
83,services,secondary,telephone
84,management,tertiary,cellular
85,blue-collar,primary,unknown
86,technician,secondary,cellular
87,blue-collar,primary,unknown
88,admin.,secondary,cellular
89,blue-collar,secondary,unknown
90,blue-collar,primary,cellular
91,blue-collar,primary,unknown
92,services,secondary,cellular
93,management,tertiary,cellular
94,blue-collar,secondary,cellular
95,unknown,tertiary,cellular
96,admin.,tertiary,unknown
97,admin.,tertiary,cellular
98,blue-collar,secondary,cellular
99,unemployed,primary,cellular
100,blue-collar,secondary,unknown
101,management,tertiary,cellular
102,technician,secondary,telephone
103,services,primary,telephone
104,management,secondary,unknown
105,management,tertiary,cellular
106,blue-collar,secondary,unknown
107,self-employed,tertiary,cellular
108,unemployed,primary,cellular
109,housemaid,primary,cellular
110,student,secondary,cellular
111,management,tertiary,telephone
112,self-employed,secondary,cellular
113,blue-collar,secondary,cellular
114,student,secondary,telephone
115,technician,secondary,cellular
116,services,secondary,cellular
117,admin.,secondary,cellular
118,blue-collar,primary,cellular
119,management,tertiary,unknown
120,admin.,secondary,cellular
121,blue-collar,primary,cellular
122,technician,secondary,unknown
123,blue-collar,secondary,cellular
124,management,tertiary,cellular
125,self-employed,tertiary,cellular
126,unemployed,secondary,unknown
127,technician,secondary,cellular
128,blue-collar,secondary,telephone
129,retired,tertiary,cellular
130,blue-collar,primary,cellular
131,blue-collar,primary,unknown
132,blue-collar,unknown,unknown
133,admin.,unknown,cellular
134,technician,secondary,unknown
135,management,tertiary,cellular
136,admin.,secondary,cellular
137,management,tertiary,cellular
138,management,tertiary,cellular
139,management,unknown,unknown
140,management,tertiary,cellular
141,management,tertiary,cellular
142,services,unknown,unknown
143,management,tertiary,cellular
144,admin.,secondary,unknown
145,management,tertiary,cellular
146,retired,primary,unknown
147,technician,secondary,cellular
148,admin.,secondary,cellular
149,technician,unknown,unknown
150,entrepreneur,unknown,unknown
151,management,tertiary,cellular
152,unemployed,primary,unknown
153,entrepreneur,secondary,cellular
154,technician,secondary,unknown
155,technician,secondary,cellular
156,admin.,secondary,cellular
157,technician,secondary,cellular
158,self-employed,secondary,cellular
159,technician,secondary,cellular
160,blue-collar,tertiary,unknown
161,admin.,secondary,unknown
162,admin.,secondary,unknown
163,services,secondary,unknown
164,management,tertiary,cellular
165,admin.,secondary,unknown
166,housemaid,secondary,telephone
167,blue-collar,secondary,cellular
168,technician,tertiary,unknown
169,blue-collar,secondary,cellular
170,technician,secondary,unknown
171,management,tertiary,cellular
172,admin.,secondary,cellular
173,admin.,secondary,cellular
174,management,tertiary,cellular
175,admin.,secondary,cellular
176,admin.,secondary,cellular
177,admin.,secondary,cellular
178,unknown,unknown,unknown
179,admin.,tertiary,cellular
180,technician,tertiary,cellular
181,services,secondary,cellular
182,admin.,secondary,cellular
183,admin.,secondary,unknown
184,services,secondary,unknown
185,self-employed,tertiary,cellular
186,admin.,tertiary,telephone
187,services,secondary,cellular
188,technician,secondary,cellular
189,retired,secondary,cellular
190,blue-collar,primary,telephone
191,self-employed,secondary,cellular
192,management,tertiary,cellular
193,services,secondary,unknown
194,student,secondary,cellular
195,retired,secondary,cellular
196,blue-collar,secondary,unknown
197,services,secondary,cellular
198,technician,tertiary,cellular
199,retired,secondary,telephone
200,technician,tertiary,cellular
201,technician,secondary,cellular
202,technician,tertiary,cellular
203,management,tertiary,cellular
204,blue-collar,tertiary,telephone
205,technician,tertiary,cellular
206,technician,secondary,cellular
207,technician,secondary,cellular
208,services,secondary,cellular
209,retired,secondary,cellular
210,technician,secondary,cellular
211,blue-collar,secondary,unknown
212,technician,tertiary,cellular
213,self-employed,secondary,cellular
214,management,tertiary,cellular
215,management,tertiary,cellular
216,technician,secondary,cellular
217,blue-collar,secondary,cellular
218,blue-collar,primary,telephone
219,services,secondary,cellular
220,retired,tertiary,cellular
221,technician,secondary,unknown
222,blue-collar,primary,unknown
223,self-employed,primary,cellular
224,management,primary,cellular
225,services,secondary,unknown
226,technician,secondary,cellular
227,technician,secondary,cellular
228,blue-collar,primary,cellular
229,technician,tertiary,cellular
230,unknown,secondary,cellular
231,entrepreneur,tertiary,unknown
232,technician,secondary,cellular
233,blue-collar,secondary,cellular
234,student,secondary,cellular
235,technician,secondary,cellular
236,blue-collar,secondary,cellular
237,technician,unknown,unknown
238,housemaid,primary,unknown
239,unemployed,tertiary,cellular
240,admin.,secondary,cellular
241,self-employed,tertiary,cellular
242,management,tertiary,cellular
243,admin.,secondary,unknown
244,blue-collar,secondary,unknown
245,management,tertiary,cellular
246,management,secondary,unknown
247,unemployed,secondary,cellular
248,management,tertiary,cellular
249,technician,secondary,cellular
250,management,tertiary,cellular
251,management,tertiary,cellular
252,blue-collar,primary,cellular
253,retired,primary,cellular
254,blue-collar,primary,cellular
255,blue-collar,secondary,unknown
256,management,tertiary,cellular
257,unemployed,secondary,cellular
258,technician,tertiary,cellular
259,blue-collar,secondary,cellular
260,housemaid,secondary,cellular
261,technician,secondary,cellular
262,technician,tertiary,cellular
263,entrepreneur,tertiary,cellular
264,technician,tertiary,cellular
265,self-employed,secondary,unknown
266,student,secondary,unknown
267,technician,tertiary,cellular
268,admin.,secondary,telephone
269,services,secondary,cellular
270,services,secondary,cellular
271,blue-collar,secondary,cellular
272,management,secondary,unknown
273,self-employed,secondary,cellular
274,blue-collar,tertiary,cellular
275,technician,secondary,unknown
276,housemaid,tertiary,cellular
277,technician,tertiary,cellular
278,blue-collar,primary,cellular
279,blue-collar,primary,cellular
280,self-employed,tertiary,unknown
281,blue-collar,secondary,cellular
282,blue-collar,secondary,unknown
283,admin.,secondary,unknown
284,student,secondary,unknown
285,technician,tertiary,unknown
286,admin.,secondary,unknown
287,self-employed,secondary,unknown
288,management,tertiary,cellular
289,admin.,tertiary,cellular
290,blue-collar,primary,cellular
291,blue-collar,secondary,unknown
292,services,secondary,cellular
293,technician,secondary,cellular
294,management,tertiary,cellular
295,entrepreneur,unknown,cellular
296,management,tertiary,cellular
297,blue-collar,primary,unknown
298,entrepreneur,secondary,cellular
299,blue-collar,secondary,cellular
300,retired,primary,cellular
301,retired,primary,cellular
302,blue-collar,secondary,telephone
303,blue-collar,secondary,cellular
304,management,unknown,cellular
305,technician,secondary,cellular
306,entrepreneur,secondary,cellular
307,unemployed,primary,unknown
308,management,tertiary,unknown
309,admin.,tertiary,cellular
310,blue-collar,secondary,cellular
311,management,unknown,cellular
312,blue-collar,primary,cellular
313,management,tertiary,cellular
314,admin.,tertiary,cellular
315,blue-collar,primary,unknown
316,blue-collar,secondary,cellular
317,admin.,primary,unknown
318,entrepreneur,secondary,cellular
319,unemployed,secondary,unknown
320,admin.,unknown,unknown
321,blue-collar,secondary,cellular
322,self-employed,tertiary,cellular
323,management,tertiary,cellular
324,blue-collar,primary,unknown
325,technician,secondary,cellular
326,unemployed,secondary,cellular
327,entrepreneur,tertiary,cellular
328,unemployed,secondary,cellular
329,admin.,secondary,unknown
330,admin.,secondary,cellular
331,technician,tertiary,cellular
332,admin.,secondary,cellular
333,services,primary,cellular
334,management,tertiary,cellular
335,management,tertiary,unknown
336,blue-collar,primary,unknown
337,management,tertiary,cellular
338,retired,primary,cellular
339,self-employed,primary,cellular
340,management,tertiary,cellular
341,retired,tertiary,cellular
342,management,tertiary,cellular
343,self-employed,tertiary,unknown
344,management,unknown,cellular
345,blue-collar,secondary,cellular
346,management,tertiary,cellular
347,management,primary,cellular
348,admin.,secondary,unknown
349,self-employed,tertiary,cellular
350,blue-collar,secondary,cellular
351,management,tertiary,cellular
352,management,tertiary,cellular
353,management,tertiary,cellular
354,management,tertiary,cellular
